,y,a,b,c,h,yy,dy,B,night,hypo,dips,twos,tres,fp,tp,A,C
2022-02-01 02:43:13,7.82656,0.0,0.0976533225806451,0.0,,7.82656,-0.11101000000000028,0.21127313933392752,True,False,False,False,False,False,False,0.00016183782976142105,0.0
2022-02-01 02:48:13,7.66003,0.0,0.06970708,0.0,,7.66003,-0.16652999999999984,0.20482932543411628,True,False,False,False,False,False,False,8.091891487600042e-05,0.0
2022-02-01 02:53:13,7.32699,0.0,0.09730472,0.0,,7.32699,-0.33303999999999956,0.20001706198906746,True,False,False,False,False,False,False,4.045945743682269e-05,0.0
2022-02-01 02:58:13,6.88293,0.0,0.0736011,0.0,,6.88293,-0.44406000000000034,0.19444998654515558,True,False,False,False,False,False,False,2.0229728718116962e-05,0.0
2022-02-01 03:03:13,6.6609,0.0,0.01,0.0,,6.6609,-0.22203000000000017,0.18645175290224764,True,False,False,False,False,False,False,1.0114864358984886e-05,0.0
2022-02-01 03:08:13,6.77191,0.0,0.0,0.0,,6.77191,0.11101000000000028,0.17848537312287183,True,False,False,False,False,False,False,5.0574321794740445e-06,0.0
2022-02-01 03:13:13,6.6609,0.0,0.02976084,0.0,,6.6609,-0.11101000000000028,0.17222026404563717,True,False,False,False,False,False,False,2.5287160897324225e-06,0.0
2022-02-01 03:18:13,6.54988,0.0,0.089955469090909,0.0,,6.54988,-0.1110199999999999,0.16880150266481214,True,False,False,False,False,False,False,1.2643580448650612e-06,0.0
2022-02-01 03:23:13,6.32785,0.0,0.1168581818181818,0.0,,6.32785,-0.22203000000000017,0.16667073315955394,True,False,False,False,False,False,False,6.321790224322431e-07,0.0
2022-02-01 03:28:13,6.16133,0.0,0.100114909090909,0.0,,6.16133,-0.16651999999999934,0.1639743906061491,True,False,False,False,False,False,False,3.160895112160497e-07,0.0
2022-02-01 03:33:13,6.05032,0.0,0.0447988999999999,0.0,,6.05032,-0.11101000000000028,0.15920375366160638,True,False,False,False,False,False,False,1.580447556080069e-07,0.0
2022-02-01 03:38:13,6.21684,0.0,0.0995957571428571,0.0,,6.21684,0.16652000000000022,0.15684489830525647,True,False,False,False,False,False,False,7.902237780399894e-08,0.0
2022-02-01 03:43:13,6.21684,0.0,0.1246614285714285,0.0,,6.21684,0.0,0.15558529583708694,True,False,False,False,False,False,False,3.9511188901998354e-08,0.0
2022-02-01 03:48:13,6.16133,0.0,0.1246614285714285,0.0,,6.16133,-0.05550999999999995,0.15438776966914378,True,False,False,False,False,False,False,1.9755594450998896e-08,0.0
2022-02-01 03:53:13,6.10582,0.0,0.1246614285714285,0.0,,6.10582,-0.055510000000000836,0.15324830507857354,True,False,False,False,False,False,False,9.877797225499377e-09,0.0
2022-02-01 03:58:13,5.88379,0.0,0.1246614285714285,0.0,,5.88379,-0.22202999999999928,0.15216322123505352,True,False,False,False,False,False,False,4.938898612749671e-09,0.0
2022-02-01 04:03:13,5.88379,0.0,0.1246614285714285,0.0,,5.88379,0.0,0.15112913715463216,True,False,False,False,False,False,False,2.4694493063748314e-09,0.0
2022-02-01 04:08:13,6.05032,0.0,0.1246614285714285,0.0,,6.05032,0.16652999999999984,0.15014294173917198,True,False,False,False,False,False,False,1.2347246531874144e-09,0.0
